Channel Name,LCN,Price (₹),Category,Language,Frequency,Symbol Rate,Polarization,Satellite
DD Podhigai,121,0.00,General Entertainment,Tamil,3925,27500,Horizontal,Measat-3b
Isaiaruvi,122,0.00,Music,Tamil,3925,27500,Horizontal,Measat-3b
Makkal TV,118,0.00,News & Current Affairs,Tamil,3925,27500,Horizontal,Measat-3b
Kalaignar TV,111,0.00,General Entertainment,Tamil,3925,27500,Horizontal,Measat-3b
Sun TV,100,22.42,General Entertainment,Tamil,3925,27500,Horizontal,Measat-3b
DD Saptagiri,189,0.00,General Entertainment,Telugu,3925,27500,Horizontal,Measat-3b
DD Yadagiri,188,0.00,Religious,Telugu,3925,27500,Horizontal,Measat-3b
ETV Telugu,152,20.06,General Entertainment,Telugu,3925,27500,Horizontal,Measat-3b
Gemini TV,150,22.42,General Entertainment,Telugu,3925,27500,Horizontal,Measat-3b
Star Maa,156,22.42,General Entertainment,Telugu,3925,27500,Horizontal,Measat-3b
DD Chandana,268,0.00,General Entertainment,Kannada,3925,27500,Horizontal,Measat-3b
TV9 Kannada,272,0.00,News & Current Affairs,Kannada,3925,27500,Horizontal,Measat-3b
Udaya TV,250,20.06,General Entertainment,Kannada,3925,27500,Horizontal,Measat-
::contentReference[oaicite:124]{index=124}
 
